Year,Number_of_Packs_Monitored_Spring,Number_of_Packs_Monitored_Fall,Wolves_Counted_Spring,Wolves_Counted_Fall,Mean_Pack_Size_Spring,Mean_Pack_Size_Fall,Area_Square_KM_of_Monitored_Packs_Spring,Area_Square_KM_of_Monitored_Packs_Fall
1986,4,4,26,22,6.5,5.5,"7,380","8,180"
1987,8,9,37,70,4.6,7.8,"12,125","13,150"
1988,14,14,69,121,4.9,8.6,"15,355","14,670"
1989,13,11,98,127,7.5,11.5,"16,810","15,240"
1990,10,11,106,136,10.6,12.4,"13,930","13,930"
1991,13,13,111,137,8.5,10.5,"14,275","14,275"
1992,15,15,103,120,6.9,8,"13,620","13,620"
1993,12,12,68,93,5.7,7.8,"9,900","9,900"
1994,10,12,61,72,6.1,6,"11,145","11,145"
1995,12,11,59,80,4.9,7.3,"12,120","12,045"
1996,11,11,69,104,6.3,9.5,"12,640","12,776"
1997,11,12,78,75,7.1,6.3,"13,080","12,808"
1998,12,12,61,68,5.1,5.7,"13,121","12,578"
1999,13,15,69,80,5.3,5.3,"12,699","12,699"
2000,17,18,71,112,4.2,6.2,"14,378","14,554"
2001,16,18,87,91,5.4,5.1,"13,802","13,802"
2002,15,14,73,86,4.9,6.1,"13,026","12,226"
2003,18,11,75,84,4.2,7.6,"11,682","11,682"
2004,14,14,78,78,5.6,5.6,"16,061","14,630"
2005,15,15,66,106,4.4,7.1,"14,630","15,367"
2006,15,17,103,111,6.9,6.5,"15,367","17,439"
2007,16,20,93,147,5.8,7.4,"17,439","17,757"
2008,20,14,99,86,5,6.1,"17,757","16,607"
2009,16,15,65,89,4.1,5.9,"16,607","17,061"
2010,12,11,59,88,4.9,8,"17,061","17,994"
2011,10,8,71,75,7.1,9.4,"17,994","17,994"
2012,10,9,70,57,7,6.3,"18,340","18,340"
2013,11,12,49,67,4.5,5.6,"15,473","15,473"
2014,10,11,51,55,5.1,5.1,"17,640","17,640"
2015,12,11,52,62,4.3,5.6,"18,820","18,820"
2016,9,10,49,76,5.4,7.6,"17,153","17,153"
2017,10,9,72,75,7.2,8.3,"15,231","15,231"
2018,10,11,75,85,7.5,7.7,"13,963","13,963"
2019,10,12,70,74,7,6.2,"12,962","12,962"
2020,12,12,68,95,5.7,7.9,"15,333","15,333"
2021,14,12,93,121,6.6,10.1,"16,359","16,359"
2022,14,14,105,102,7,7,"17,034","17,034"
2023,13,11,81,59,6,5,"17,034","17,034"
2024,11,10,56,56,5,5,"15,937","15,973"
