Year,WolfCount,PackCount,Area,PacksSpring,PacksFall,WolfCountSpring,WolfCountFall,AreaSqrKMSpring,AreaSqrKMFall
1986,48,8,"7,3808,180",4,4,26,22,"7,380","8,180"
1987,107,17,"12,12513,150",8,9,37,70,"12,125","13,150"
1988,190,28,"15,35514,670",14,14,69,121,"15,355","14,670"
1989,225,24,"16,81015,240",13,11,98,127,"16,810","15,240"
1990,242,21,"13,93013,930",10,11,106,136,"13,930","13,930"
1991,248,26,"14,27514,275",13,13,111,137,"14,275","14,275"
1992,223,30,"13,62013,620",15,15,103,120,"13,620","13,620"
1993,161,24,"9,9009,900",12,12,68,93,"9,900","9,900"
1994,133,22,"11,14511,145",10,12,61,72,"11,145","11,145"
1995,139,23,"12,12012,045",12,11,59,80,"12,120","12,045"
1996,173,22,"12,64012,776",11,11,69,104,"12,640","12,776"
1997,153,23,"13,08012,808",11,12,78,75,"13,080","12,808"
1998,129,24,"13,12112,578",12,12,61,68,"13,121","12,578"
1999,149,28,"12,69912,699",13,15,69,80,"12,699","12,699"
2000,183,35,"14,37814,554",17,18,71,112,"14,378","14,554"
2001,178,34,"13,80213,802",16,18,87,91,"13,802","13,802"
2002,159,29,"13,02612,226",15,14,73,86,"13,026","12,226"
2003,159,29,"11,68211,682",18,11,75,84,"11,682","11,682"
2004,156,28,"16,06114,630",14,14,78,78,"16,061","14,630"
2005,172,30,"14,63015,367",15,15,66,106,"14,630","15,367"
2006,214,32,"15,36717,439",15,17,103,111,"15,367","17,439"
2007,240,36,"17,43917,757",16,20,93,147,"17,439","17,757"
2008,185,34,"17,75716,607",20,14,99,86,"17,757","16,607"
2009,154,31,"16,60717,061",16,15,65,89,"16,607","17,061"
2010,147,23,"17,06117,994",12,11,59,88,"17,061","17,994"
2011,146,18,"17,99417,994",10,8,71,75,"17,994","17,994"
2012,127,19,"18,34018,340",10,9,70,57,"18,340","18,340"
2013,116,23,"15,47315,473",11,12,49,67,"15,473","15,473"
2014,106,21,"17,64017,640",10,11,51,55,"17,640","17,640"
2015,114,23,"18,82018,820",12,11,52,62,"18,820","18,820"
2016,125,19,"17,15317,153",9,10,49,76,"17,153","17,153"
2017,147,19,"15,23115,231",10,9,72,75,"15,231","15,231"
2018,160,21,"13,96313,963",10,11,75,85,"13,963","13,963"
2019,144,22,"12,96212,962",10,12,70,74,"12,962","12,962"
2020,163,24,"15,33315,333",12,12,68,95,"15,333","15,333"
2021,214,26,"16,35916,359",14,12,93,121,"16,359","16,359"
2022,207,28,"17,03417,034",14,14,105,102,"17,034","17,034"
2023,140,24,"17,03417,034",13,11,81,59,"17,034","17,034"
2024,112,21,"15,93715,973",11,10,56,56,"15,937","15,973"
